state,town,college1990,male1990,black1990,hisp1990,income1990,logincome1990,subrf2000,gopvoteshare1992,gopvoteshare1996,gopvoteshare2000
Mi,Horton,0.058928572,0.48715204,0.002136752,0.002136752,1.909100056,0.646631956,0,0.461016949,0.412337662,0.522727273
Mi,Logan,0.017412934,0.51509434,0.003752345,0.005628518,1.763900042,0.56752729,0,0.432989691,0.389671362,0.447876448
Mi,Mills,0.027363185,0.516129017,0,0,1.867200017,0.624439992,0,0.295495495,0.255978742,0.363201094
Mi,Ogemaw,0.109215014,0.51901567,0,0.012154697,2.568200111,0.943205308,0,0.461538462,0.416666667,0.481540931
Mi,Rose,0.06566456,0.477812171,0,0.001030928,1.04671216,0.045653975,22.20961899,0.488709677,0.405882353,0.59824781
Mi,West,0.121359222,0.47195816,0,0.004743833,1.458865643,0.377659177,0,0.499678457,0.44835966,0.544482256
Mi,Bergland,0.074245937,0.519867539,0,0,2.352299929,0.855393543,0,0.427184466,0.436666667,0.62305296
Mi,Carp Lake,0.113939397,0.523051143,0,0.002508361,2.82949996,1.040100003,0,0.331395349,0.432304038,0.520084567
Mi,Greenland,0.068245128,0.507331371,0,0.013500482,1.493100047,0.400854527,0,0.274193548,0.316455696,0.586638831
Mi,Mcmillan,0.117647059,0.508371413,0,0,1.854200006,0.617453339,0,0.387205387,0.401515152,0.59352518
Mi,Ontonagon,0.112000003,0.492588013,0,0.005225945,1.347292304,0.298096878,0,0.420527441,0.462469734,0.658113731
Mi,Rockland,0.07692308,0.508241773,0,0,2.048599958,0.717156613,0,0.405405405,0.508474576,0.681481481
Mi,Stannard,0.0288,0.533791542,0,0,1.753999949,0.561898865,0,0.395663957,0.462365591,0.678921569
Mi,Evart,0.05953031,0.476622939,0.013749162,0.007377599,1.196309447,0.179241357,0,0.471441523,0.42582897,0.541070083
Mi,Hersey,0.119767442,0.52714777,0.00473613,0.01759134,1.824560761,0.601339279,0,0.477582846,0.450271248,0.545087483
Mi,Le Roy,0.097435899,0.507788181,0,0,1.65773809,0.505454077,0,0.489864865,0.501340483,0.622080679
Mi,Lincoln,0.066137567,0.5,0.004071661,0,2.145800114,0.763512496,19.98928785,0.481220657,0.442831216,0.595541401
Mi,Marion,0.076666668,0.48788926,0.000687758,0.008253095,1.040726066,0.03991861,0,0.503118503,0.482490272,0.5984
Mi,Osceola,0.102473497,0.499437571,0,0,2.206199884,0.791271526,0,0.451612903,0.559055118,0.58021978
Mi,Reed,0.152101398,0.45607397,0.012541806,0.015050167,1.833299994,0.606117619,0,0.502475248,0.441247002,0.513211382
Mi,Richmond,0.10991168,0.487224162,0,0.00173913,2.680599928,0.986040623,0,0.53630363,0.517934003,0.598269468
Mi,Greenwood,0.074022345,0.518171132,0,0.010440836,1.783699989,0.578689853,0,0.451612903,0.423162584,0.507662835
Mi,Mentor,0.032544378,0.478813559,0,0,1.886399984,0.634670243,22.20961899,0.432989691,0.391050584,0.505226481
Mi,Gaylord,0.140765235,0.447481573,0,0.003061849,2.019999981,0.703097502,100,0.517736486,0.516773163,0.572864322
Mi,Hayes,0.1369863,0.510786355,0,0.001389854,3.135000229,1.142629247,34.27778482,0.491769547,0.49197861,0.602421796
Mi,Allendale,0.168362632,0.481532305,0.028946066,0.01298862,1.631662369,0.489599353,30.32238781,0.759364359,0.724190593,0.767967634
Mi,Blendon,0.101022013,0.512236297,0.003566932,0.005455309,3.666699886,1.299292044,5.000000075,0.875589067,0.863751051,0.893762851
Mi,Chester,0.092257001,0.511017323,0.002785515,0.018570103,3.191499949,1.16049101,0,0.637426901,0.625954198,0.697550586
Mi,Coopersville,0.114183307,0.474130362,0,0.006976744,3.268400192,1.184300627,30.32238781,0.636003172,0.587659895,0.658969805
Mi,Crockery,0.11626859,0.509585977,0.020481594,0.010794354,3.015899897,1.103898259,30.32238781,0.531539108,0.509789157,0.590286426
Mi,Ferrysburg,0.246959284,0.497430623,0.011945393,0.006825938,3.56430006,1.270967698,28.3079654,0.650387597,0.602173913,0.605932203
Mi,Georgetown,0.169728145,0.494929016,0.001281446,0.005125784,4.141499996,1.42105804,31.69438541,0.791225227,0.772189512,0.794589679
Mi,Grand Haven,0.219995752,0.48834312,0.00170029,0.008225725,2.219198227,0.797145972,30.32238781,0.580672627,0.525594435,0.579257171
Mi,Holland,0.186325386,0.485748917,0.00465712,0.12543951,2.000667572,0.693480911,NA,0.686684241,0.660197039,0.689384593
Mi,Hudsonville,0.148930416,0.484927058,0.001936421,0.004356947,3.211400032,1.166706989,30.32238781,0.872773537,0.86258838,0.87354769
Mi,Jamestown,0.123224922,0.509731472,0.000973473,0.012168411,4.00150013,1.386669323,15.99569023,0.880486515,0.890489914,0.904354298
Mi,Olive,0.039344262,0.496085405,0.024627125,0.058272634,3.476700068,1.246083587,5.000000075,0.817598533,0.782245827,0.826781327
Mi,Park,0.30358234,0.50250572,0.003649091,0.037831396,4.682799816,1.543896182,30.32238781,0.730743357,0.688756917,0.706167401
Mi,Polkton,0.116413593,0.507853389,0.004797209,0.003924989,3.440500021,1.235616816,30.32238781,0.700332963,0.711812627,0.756901158
Mi,Port Sheldon,0.251655638,0.529648244,0,0.032792207,4.531300545,1.511008994,32.90179968,0.682119205,0.679876161,0.719281664
